linux-firmware-radeon 20251125-2
linux-firmware-realtek 20251125-2
linux-firmware-whence 20251125-2
linux-headers 6.17.9.arch1-1
lld 21.1.6-1
llvm-libs 21.1.6-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lua 5.4.8-2
lua51 5.1.5-13
lua51-lpeg 1.1.0-4
luajit 2.1.1765228720+7152e15-1
luarocks 3.12.2-1
lv2 1.18.10-2
ly 1.3.0-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
md4c 0.5.2-1
mesa 1:25.3.1-2
mesa-utils 9.0.0-7
meson 1.10.0-1
mkinitcpio 40-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.3-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
ncurses 6.5-4
neovim 0.11.5-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.2-1
nftables 1:1.1.6-1
ninja 1.13.2-1
nm-connection-editor 1.36.0-1
noto-fonts 1:2025.12.01-1
noto-fonts-emoji 1:2.051-1
nouveau-fw 340.108-1
npth 1.8-1
nspr 4.38.2-1
nss 3.119.1-1
nushell 0.109.1-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssh 10.2p1-2
openssl 3.6.0-1
opus 1.5.2-1
orc 0.4.41-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20251021-1
pahole 1:1.31-1
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
paru 2.1.0-2
paru-debug 2.1.0-1
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-error 0.17030-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pipewire-session-manager 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-4
polkit 126-2
popt 1.19-2
portaudio 1:19.7.0-3
pps-tools 1.0.3-2
procps-ng 4.0.5-3
psmisc 23.7-1
pugixml 1.15-2
python 3.13.11-1
python-autocommand 2.2.2-7
python-capng 0.8.5-3
python-dbus 1.4.0-1
python-gobject 3.54.5-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-mako 1.3.10-1
python-markdown 3.10.0-1
python-markupsafe 3.0.2-1
python-more-itertools 10.8.0-1
python-packaging 25.0-1
python-platformdirs 4.5.1-1
python-setuptools 1:80.9.0-2
python-tqdm 4.67.1-2
python-wheel 0.45.1-1
qt6-base 6.10.1-1
qt6-declarative 6.10.1-2
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
qt6-wayland 6.10.1-1
rav1e 0.8.1-2
re2 1:20240702-7
readline 8.3.001-1
reflector 2023-3
rhash 1.4.6-1
rofi 2.0.0-1
rsync 3.4.1-2
rubberband 4.0.0-1
run-parts 5.23.2-1
rust 1:1.91.1-2
sbc 2.1-1
scdoc 1.11.4-1
sdbus-cpp 2.2.1-1
sdl2-compat 2.32.60-1
sdl3 3.2.28-1
seatd 0.9.1-1
sed 4.9-3
serd 0.32.6-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
slang 2.3.3-4
slurp 1.5.0-1
snappy 1.2.2-2
sndio 1.10.0-1
sof-firmware 2025.05.1-1
sord 0.16.20-1
spdlog 1.16.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.328.1-1
sqlite 3.51.1-1
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
stow 2.4.1-1
sudo 1.9.17.p2-1
svt-av1 3.1.2-1
swaync 0.12.3-1
swww 0.11.2-1
systemd 258.2-2
systemd-libs 258.2-2
systemd-sysvcompat 258.2-2
tar 1.35-2
texinfo 7.2-1
timeshift 25.07.7-1
timeshift-autosnap 0.10.0-1
tinysparql 3.10.1-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
